COMMAND

    echo 'The Belobog Academy has discovered a new, invasive species of algae that can double itself in one day, and in 30 days fills a whole reservoir - contaminating the water supply. How many days would it take for the algae to fill half of the reservoir?' | ./gemma --model 7b-it --compressed_weights ~/weights/gemma-7b-it-sfp/7b-it-sfp.sbs --tokenizer ~/weights/gemma-7b-it-sfp/tokenizer.spm --num_threads 1 --verbosity 0 --temperature 0

MATVEC OUTPUT TRACE

    The `gold` output matrix was produced on an avx512 machine. The
    `out` output matrix was produced on an AVX2 machine. These logs
    display the sum of absolute differences (sad) between the two output
    vectors, divided by the number of elements. Each line also displays
    the min/max value of each vector, to show the range.

[ Reading prompt ]
trace/000_000_00189.dat: sad 0.00656563 [gold -9.6399 .. 9.16502] [out -9.66663 .. 9.19286]
trace/000_000_00190.dat: sad 0.00624593 [gold -4.46298 .. 2.97038] [out -4.45465 .. 2.95761]
trace/000_000_00191.dat: sad 0.0013445 [gold -0.403997 .. 0.579388] [out -0.401305 .. 0.590886]
trace/000_000_00192.dat: sad 0.00199493 [gold -5.41547 .. 4.55605] [out -5.40787 .. 4.55087]
trace/000_000_00193.dat: sad 0.00258053 [gold -2.97565 .. 2.31677] [out -2.97501 .. 2.30718]
trace/000_000_00194.dat: sad 0.000428996 [gold -1.37396 .. 0.814955] [out -1.36676 .. 0.809831]
trace/000_000_00195.dat: sad 0.0828062 [gold -5.27684 .. 5.14809] [out -5.23538 .. 5.12494]
trace/000_000_00196.dat: sad 0.0801686 [gold -3.35421 .. 2.71633] [out -3.58816 .. 2.59703]
trace/000_000_00197.dat: sad 0.0157425 [gold -0.324137 .. 1.43134] [out -0.344063 .. 1.40627]
trace/000_000_00198.dat: sad 0.0629137 [gold -6.76241 .. 5.58886] [out -6.07232 .. 5.24735]
trace/000_000_00199.dat: sad 0.0638859 [gold -3.36064 .. 2.69223] [out -3.17808 .. 2.38196]
trace/000_000_00200.dat: sad 0.0127986 [gold -0.325073 .. 0.991087] [out -0.282178 .. 0.582901]
trace/000_000_00201.dat: sad 0.0669143 [gold -3.95364 .. 3.4322] [out -3.48269 .. 3.24969]
trace/000_000_00202.dat: sad 0.0742662 [gold -3.10184 .. 1.92598] [out -3.10096 .. 1.70652]
trace/000_000_00203.dat: sad 0.013261 [gold -0.602368 .. 1.38053] [out -0.5314 .. 0.978155]
trace/000_000_00204.dat: sad 0.0657631 [gold -4.30677 .. 3.94049] [out -3.87476 .. 3.66872]
